Date,Month,Year,Site,Site_ID,Rep,Focal.Plant,Neighbor,SF-L,SF-D,Spac,Mud,Other,Total,Corr.SF-L,Corr.SF-D,Corr.Spac,Corr.Mud,Corr.Other,Other.Species
42961,August,2017,SDL,SDL2,C+5,cordgrass,present,32,4,53,11,0,100,0.32,0.04,0.53,0.11,0,
42961,August,2017,SDL,SDL2,P+5,pickleweed,present,25,1,65,10,0,101,0.247524752,0.00990099,0.643564356,0.099009901,0,
42961,August,2017,SDL,SDL2,C+6,cordgrass,present,32,0,65,1,0,98,0.326530612,0,0.663265306,0.010204082,0,
42961,August,2017,SDL,SDL2,P-7,pickleweed,absent,0,0,92,8,0,100,0,0,0.92,0.08,0,
42961,August,2017,SDL,SDL2,C+7,cordgrass,present,24,5,62,9,0,100,0.24,0.05,0.62,0.09,0,
42961,August,2017,SDL,SDL2,C-6,cordgrass,absent,30,1,0,69,0,100,0.3,0.01,0,0.69,0,
42961,August,2017,SDL,SDL2,P+6,pickleweed,present,26,5,65,1,0,97,0.268041237,0.051546392,0.670103093,0.010309278,0,
42961,August,2017,SDL,SDL2,C-7,cordgrass,absent,52,10,0,38,0,100,0.52,0.1,0,0.38,0,
42961,August,2017,SDL,SDL2,P+7,pickleweed,present,18,0,72,10,0,100,0.18,0,0.72,0.1,0,
42961,August,2017,SDL,SDL2,C+8,cordgrass,present,25,15,40,20,0,100,0.25,0.15,0.4,0.2,0,
42961,August,2017,SDL,SDL2,C-8,cordgrass,absent,42,5,0,53,0,100,0.42,0.05,0,0.53,0,
42961,August,2017,SDL,SDL2,P-8,pickleweed,absent,0,0,71,29,0,100,0,0,0.71,0.29,0,
42961,August,2017,SDL,SDL2,P-9,pickleweed,absent,0,0,74,0,0,74,0,0,1,0,0,
42961,August,2017,SDL,SDL2,P-10,pickleweed,absent,0,0,66,0,0,66,0,0,1,0,0,
42961,August,2017,SDL,SDL2,P+8,pickleweed,present,20,12,51,15,0,98,0.204081633,0.12244898,0.520408163,0.153061224,0,
42961,August,2017,SDL,SDL2,C-9,cordgrass,absent,58,4,0,38,0,100,0.58,0.04,0,0.38,0,
42961,August,2017,SDL,SDL2,C-10,cordgrass,absent,60,4,0,36,0,100,0.6,0.04,0,0.36,0,
42961,August,2017,SDL,SDL2,P+9,pickleweed,present,19,11,60,10,0,100,0.19,0.11,0.6,0.1,0,
42961,August,2017,SDL,SDL2,P+10,pickleweed,present,40,3,51,5,0,99,0.404040404,0.03030303,0.515151515,0.050505051,0,
42961,August,2017,SDL,SDL2,C+10,cordgrass,present,25,22,35,20,0,102,0.245098039,0.215686275,0.343137255,0.196078431,0,
42961,August,2017,SDL,SDL2,C+9,cordgrass,present,31,6,60,3,0,100,0.31,0.06,0.6,0.03,0,
42985,September ,2017,SDL,SDL2,C+1,cordgrass,present,49,34,15,2,0,100,0.49,0.34,0.15,0.02,0,
42985,September ,2017,SDL,SDL2,C+2,cordgrass,present,60,13,25,0,0,98,0.612244898,0.132653061,0.255102041,0,0,
42985,September ,2017,SDL,SDL2,C+3,cordgrass,present,72,7,21,0,0,100,0.72,0.07,0.21,0,0,
42985,September ,2017,SDL,SDL2,C+4,cordgrass,present,55,14,30,0,0,99,0.555555556,0.141414141,0.303030303,0,0,
42985,September ,2017,SDL,SDL2,C+5,cordgrass,present,63,18,19,0,0,100,0.63,0.18,0.19,0,0,
42985,September ,2017,SDL,SDL2,C+6,cordgrass,present,70,15,15,0,0,100,0.7,0.15,0.15,0,0,
42985,September ,2017,SDL,SDL2,C+7,cordgrass,present,40,29,30,1,0,100,0.4,0.29,0.3,0.01,0,
42985,September ,2017,SDL,SDL2,C+8,cordgrass,present,72,10,18,0,0,100,0.72,0.1,0.18,0,0,
42985,September ,2017,SDL,SDL2,C+9,cordgrass,present,55,23,23,0,0,101,0.544554455,0.227722772,0.227722772,0,0,
42985,September ,2017,SDL,SDL2,C+10,cordgrass,present,62,23,15,0,0,100,0.62,0.23,0.15,0,0,
42985,September ,2017,SDL,SDL2,C-1,cordgrass,absent,71,14,0,15,0,100,0.71,0.14,0,0.15,0,
42985,September ,2017,SDL,SDL2,C-2,cordgrass,absent,76,13,0,11,0,100,0.76,0.13,0,0.11,0,
42985,September ,2017,SDL,SDL2,C-3,cordgrass,absent,93,6,0,1,0,100,0.93,0.06,0,0.01,0,
42985,September ,2017,SDL,SDL2,C-4,cordgrass,absent,88,5,0,7,0,100,0.88,0.05,0,0.07,0,
42985,September ,2017,SDL,SDL2,C-5,cordgrass,absent,89,9,0,2,0,100,0.89,0.09,0,0.02,0,
42985,September ,2017,SDL,SDL2,C-6,cordgrass,absent,77,3,0,20,0,100,0.77,0.03,0,0.2,0,
42985,September ,2017,SDL,SDL2,C-7,cordgrass,absent,91,3,0,6,0,100,0.91,0.03,0,0.06,0,
42985,September ,2017,SDL,SDL2,C-8,cordgrass,absent,79,10,0,11,0,100,0.79,0.1,0,0.11,0,
42985,September ,2017,SDL,SDL2,C-9,cordgrass,absent,89,11,0,0,0,100,0.89,0.11,0,0,0,
42985,September ,2017,SDL,SDL2,C-10,cordgrass,absent,93,2,0,5,0,100,0.93,0.02,0,0.05,0,
42985,September ,2017,SDL,SDL2,P+1,pickleweed,present,66,15,19,0,0,100,0.66,0.15,0.19,0,0,
42985,September ,2017,SDL,SDL2,P+2,pickleweed,present,75,14,12,0,0,101,0.742574257,0.138613861,0.118811881,0,0,
42985,September ,2017,SDL,SDL2,P+3,pickleweed,present,72,15,14,0,0,101,0.712871287,0.148514851,0.138613861,0,0,
42985,September ,2017,SDL,SDL2,P+4,pickleweed,present,41,7,52,1,0,101,0.405940594,0.069306931,0.514851485,0.00990099,0,
42985,September ,2017,SDL,SDL2,P+5,pickleweed,present,79,7,12,0,0,98,0.806122449,0.071428571,0.12244898,0,0,
42985,September ,2017,SDL,SDL2,P+6,pickleweed,present,64,14,22,0,0,100,0.64,0.14,0.22,0,0,
42985,September ,2017,SDL,SDL2,P+7,pickleweed,present,52,8,37,0,0,97,0.536082474,0.082474227,0.381443299,0,0,
42985,September ,2017,SDL,SDL2,P+8,pickleweed,present,70,16,14,0,0,100,0.7,0.16,0.14,0,0,
42985,September ,2017,SDL,SDL2,P+9,pickleweed,present,54,10,37,0,0,101,0.534653465,0.099009901,0.366336634,0,0,
42985,September ,2017,SDL,SDL2,P+10,pickleweed,present,70,16,14,0,0,100,0.7,0.16,0.14,0,0,
42985,September ,2017,SDL,SDL2,P-1,pickleweed,absent,0,0,95,5,0,100,0,0,0.95,0.05,0,
42985,September ,2017,SDL,SDL2,P-2,pickleweed,absent,0,0,97,3,0,100,0,0,0.97,0.03,0,
42985,September ,2017,SDL,SDL2,P-3,pickleweed,absent,0,0,77,23,0,100,0,0,0.77,0.23,0,
42985,September ,2017,SDL,SDL2,P-4,pickleweed,absent,0,0,100,0,0,100,0,0,1,0,0,
42985,September ,2017,SDL,SDL2,P-5,pickleweed,absent,0,0,92,8,0,100,0,0,0.92,0.08,0,
42985,September ,2017,SDL,SDL2,P-6,pickleweed,absent,0,0,100,0,0,100,0,0,1,0,0,
42985,September ,2017,SDL,SDL2,P-7,pickleweed,absent,0,0,100,0,0,100,0,0,1,0,0,
42985,September ,2017,SDL,SDL2,P-8,pickleweed,absent,0,0,99,1,0,100,0,0,0.99,0.01,0,
42985,September ,2017,SDL,SDL2,P-9,pickleweed,absent,0,0,96,4,0,100,0,0,0.96,0.04,0,
42985,September ,2017,SDL,SDL2,P-10,pickleweed,absent,0,0,94,6,0,100,0,0,0.94,0.06,0,
42927,July,2017,SDL,SDL2,C+1,cordgrass,present,43,28,21,7,0,99,0.434343434,0.282828283,0.212121212,0.070707071,0,
42927,July,2017,SDL,SDL2,C+2,cordgrass,present,42,12,44,3,0,101,0.415841584,0.118811881,0.435643564,0.02970297,0,
42927,July,2017,SDL,SDL2,C+3,cordgrass,present,46,8,36,7,0,97,0.474226804,0.082474227,0.371134021,0.072164948,0,
42927,July,2017,SDL,SDL2,C+4,cordgrass,present,42,8,49,2,0,101,0.415841584,0.079207921,0.485148515,0.01980198,0,
42927,July,2017,SDL,SDL2,C+5,cordgrass,present,51,4,41,6,0,102,0.5,0.039215686,0.401960784,0.058823529,0,
42927,July,2017,SDL,SDL2,C+6,cordgrass,present,45,1,50,3,0,99,0.454545455,0.01010101,0.505050505,0.03030303,0,
42927,July,2017,SDL,SDL2,C+7,cordgrass,present,30,13,48,9,0,100,0.3,0.13,0.48,0.09,0,
42927,July,2017,SDL,SDL2,C+8,cordgrass,present,46,4,43,7,0,100,0.46,0.04,0.43,0.07,0,
42927,July,2017,SDL,SDL2,C+9,cordgrass,present,59,6,30,2,0,97,0.608247423,0.06185567,0.309278351,0.020618557,0,
42927,July,2017,SDL,SDL2,C+10,cordgrass,present,55,13,32,0,0,100,0.55,0.13,0.32,0,0,
42927,July,2017,SDL,SDL2,C-1,cordgrass,absent,45,22,33,0,0,100,0.45,0.22,0.33,0,0,
42927,July,2017,SDL,SDL2,C-2,cordgrass,absent,69,17,14,0,0,100,0.69,0.17,0.14,0,0,
42927,July,2017,SDL,SDL2,C-3,cordgrass,absent,75,13,0,13,0,101,0.742574257,0.128712871,0,0.128712871,0,
42927,July,2017,SDL,SDL2,C-4,cordgrass,absent,74,9,0,17,0,100,0.74,0.09,0,0.17,0,
42927,July,2017,SDL,SDL2,C-5,cordgrass,absent,68,8,0,26,0,102,0.666666667,0.078431373,0,0.254901961,0,
42927,July,2017,SDL,SDL2,C-6,cordgrass,absent,47,0,0,49,0,96,0.489583333,0,0,0.510416667,0,
42927,July,2017,SDL,SDL2,C-7,cordgrass,absent,53,6,0,38,0,97,0.546391753,0.06185567,0,0.391752577,0,
42927,July,2017,SDL,SDL2,C-8,cordgrass,absent,59,9,0,32,0,100,0.59,0.09,0,0.32,0,
42927,July,2017,SDL,SDL2,C-9,cordgrass,absent,88,0,0,12,0,100,0.88,0,0,0.12,0,
42927,July,2017,SDL,SDL2,C-10,cordgrass,absent,85,2,0,13,0,100,0.85,0.02,0,0.13,0,
42927,July,2017,SDL,SDL2,P+1,pickleweed,present,51,20,13,16,0,100,0.51,0.2,0.13,0.16,0,
42927,July,2017,SDL,SDL2,P+2,pickleweed,present,72,5,24,1,0,102,0.705882353,0.049019608,0.235294118,0.009803922,0,
42927,July,2017,SDL,SDL2,P+3,pickleweed,present,53,12,32,4,0,101,0.524752475,0.118811881,0.316831683,0.03960396,0,
42927,July,2017,SDL,SDL2,P+4,pickleweed,present,36,12,39,11,0,98,0.367346939,0.12244898,0.397959184,0.112244898,0,
42927,July,2017,SDL,SDL2,P+5,pickleweed,present,50,6,43,1,0,100,0.5,0.06,0.43,0.01,0,
42927,July,2017,SDL,SDL2,P+6,pickleweed,present,45,10,43,3,0,101,0.445544554,0.099009901,0.425742574,0.02970297,0,
42927,July,2017,SDL,SDL2,P+7,pickleweed,present,42,5,49,4,0,100,0.42,0.05,0.49,0.04,0,
42927,July,2017,SDL,SDL2,P+8,pickleweed,present,65,10,21,3,0,99,0.656565657,0.101010101,0.212121212,0.03030303,0,
42927,July,2017,SDL,SDL2,P+9,pickleweed,present,52,3,42,3,0,100,0.52,0.03,0.42,0.03,0,
42927,July,2017,SDL,SDL2,P+10,pickleweed,present,64,11,21,4,0,100,0.64,0.11,0.21,0.04,0,
42927,July,2017,SDL,SDL2,P-1,pickleweed,absent,0,0,78,22,0,100,0,0,0.78,0.22,0,
42927,July,2017,SDL,SDL2,P-2,pickleweed,absent,0,0,87,13,0,100,0,0,0.87,0.13,0,
42927,July,2017,SDL,SDL2,P-3,pickleweed,absent,0,0,59,41,0,100,0,0,0.59,0.41,0,
42927,July,2017,SDL,SDL2,P-4,pickleweed,absent,0,0,81,14,0,95,0,0,0.852631579,0.147368421,0,
42927,July,2017,SDL,SDL2,P-5,pickleweed,absent,0,0,72,27,0,99,0,0,0.727272727,0.272727273,0,
42927,July,2017,SDL,SDL2,P-6,pickleweed,absent,0,0,94,6,0,100,0,0,0.94,0.06,0,
42927,July,2017,SDL,SDL2,P-7,pickleweed,absent,0,0,93,7,0,100,0,0,0.93,0.07,0,
42927,July,2017,SDL,SDL2,P-8,pickleweed,absent,0,0,78,22,0,100,0,0,0.78,0.22,0,
42927,July,2017,SDL,SDL2,P-9,pickleweed,absent,0,0,82,20,0,102,0,0,0.803921569,0.196078431,0,
42927,July,2017,SDL,SDL2,P-10,pickleweed,absent,0,0,72,28,0,100,0,0,0.72,0.28,0,
42893,June,2017,SDL,SDL2,C+1,cordgrass,present,39,34,16,10,0,99,0.393939394,0.343434343,0.161616162,0.101010101,0,
42893,June,2017,SDL,SDL2,C+2,cordgrass,present,46,6,48,0,0,100,0.46,0.06,0.48,0,0,
42893,June,2017,SDL,SDL2,C+3,cordgrass,present,54,14,31,1,0,100,0.54,0.14,0.31,0.01,0,
42893,June,2017,SDL,SDL2,C+4,cordgrass,present,44,7,46,3,0,100,0.44,0.07,0.46,0.03,0,
42893,June,2017,SDL,SDL2,C+5,cordgrass,present,42,3,53,0,0,98,0.428571429,0.030612245,0.540816327,0,0,
42893,June,2017,SDL,SDL2,C+6,cordgrass,present,54,1,44,0,0,99,0.545454545,0.01010101,0.444444444,0,0,
42893,June,2017,SDL,SDL2,C+7,cordgrass,present,47,0,54,0,0,101,0.465346535,0,0.534653465,0,0,
42893,June,2017,SDL,SDL2,C+8,cordgrass,present,49,6,45,1,0,101,0.485148515,0.059405941,0.445544554,0.00990099,0,
42893,June,2017,SDL,SDL2,C+9,cordgrass,present,46,3,48,1,0,98,0.469387755,0.030612245,0.489795918,0.010204082,0,
42893,June,2017,SDL,SDL2,C+10,cordgrass,present,57,14,27,2,0,100,0.57,0.14,0.27,0.02,0,
42893,June,2017,SDL,SDL2,C-1,cordgrass,absent,55,10,0,36,0,101,0.544554455,0.099009901,0,0.356435644,0,
42893,June,2017,SDL,SDL2,C-2,cordgrass,absent,59,26,0,20,0,105,0.561904762,0.247619048,0,0.19047619,0,
42893,June,2017,SDL,SDL2,C-3,cordgrass,absent,69,25,0,6,0,100,0.69,0.25,0,0.06,0,
42893,June,2017,SDL,SDL2,C-4,cordgrass,absent,75,7,1,17,0,100,0.75,0.07,0.01,0.17,0,
42893,June,2017,SDL,SDL2,C-5,cordgrass,absent,61,17,9,14,0,101,0.603960396,0.168316832,0.089108911,0.138613861,0,
42893,June,2017,SDL,SDL2,C-6,cordgrass,absent,32,0,0,68,0,100,0.32,0,0,0.68,0,
42893,June,2017,SDL,SDL2,C-7,cordgrass,absent,56,1,43,0,0,100,0.56,0.01,0.43,0,0,
42893,June,2017,SDL,SDL2,C-8,cordgrass,absent,60,4,0,40,0,104,0.576923077,0.038461538,0,0.384615385,0,
42893,June,2017,SDL,SDL2,C-9,cordgrass,absent,95,2,0,3,0,100,0.95,0.02,0,0.03,0,
42893,June,2017,SDL,SDL2,C-10,cordgrass,absent,85,2,0,13,0,100,0.85,0.02,0,0.13,0,
42893,June,2017,SDL,SDL2,P+1,pickleweed,present,53,14,32,0,0,99,0.535353535,0.141414141,0.323232323,0,0,
42893,June,2017,SDL,SDL2,P+2,pickleweed,present,42,6,52,0,0,100,0.42,0.06,0.52,0,0,
42893,June,2017,SDL,SDL2,P+3,pickleweed,present,55,10,35,0,0,100,0.55,0.1,0.35,0,0,
42893,June,2017,SDL,SDL2,P+4,pickleweed,present,41,0,51,6,0,98,0.418367347,0,0.520408163,0.06122449,0,
42893,June,2017,SDL,SDL2,P+5,pickleweed,present,60,1,39,0,0,100,0.6,0.01,0.39,0,0,
42893,June,2017,SDL,SDL2,P+6,pickleweed,present,60,1,40,0,0,101,0.594059406,0.00990099,0.396039604,0,0,
42893,June,2017,SDL,SDL2,P+7,pickleweed,present,46,3,49,2,0,100,0.46,0.03,0.49,0.02,0,
42893,June,2017,SDL,SDL2,P+8,pickleweed,present,60,5,36,1,0,102,0.588235294,0.049019608,0.352941176,0.009803922,0,
42893,June,2017,SDL,SDL2,P+9,pickleweed,present,32,15,54,2,0,103,0.310679612,0.145631068,0.524271845,0.019417476,0,
42893,June,2017,SDL,SDL2,P+10,pickleweed,present,58,2,36,3,0,99,0.585858586,0.02020202,0.363636364,0.03030303,0,
42893,June,2017,SDL,SDL2,P-1,pickleweed,absent,0,0,92,8,0,100,0,0,0.92,0.08,0,
42893,June,2017,SDL,SDL2,P-2,pickleweed,absent,0,0,86,14,0,100,0,0,0.86,0.14,0,
42893,June,2017,SDL,SDL2,P-3,pickleweed,absent,0,0,66,34,0,100,0,0,0.66,0.34,0,
42893,June,2017,SDL,SDL2,P-4,pickleweed,absent,0,0,95,5,0,100,0,0,0.95,0.05,0,
42893,June,2017,SDL,SDL2,P-5,pickleweed,absent,0,0,93,7,0,100,0,0,0.93,0.07,0,
42893,June,2017,SDL,SDL2,P-6,pickleweed,absent,0,0,100,0,0,100,0,0,1,0,0,
42893,June,2017,SDL,SDL2,P-7,pickleweed,absent,0,0,100,0,0,100,0,0,1,0,0,
42893,June,2017,SDL,SDL2,P-8,pickleweed,absent,0,0,96,4,0,100,0,0,0.96,0.04,0,
42893,June,2017,SDL,SDL2,P-9,pickleweed,absent,0,0,100,0,0,100,0,0,1,0,0,
42893,June,2017,SDL,SDL2,P-10,pickleweed,absent,0,0,95,5,0,100,0,0,0.95,0.05,0,
42865,May,2017,SDL,SDL2,C+1,cordgrass,present,32,33,25,10,0,100,0.32,0.33,0.25,0.1,0,
42865,May,2017,SDL,SDL2,C+2,cordgrass,present,42,10,48,0,0,100,0.42,0.1,0.48,0,0,
42865,May,2017,SDL,SDL2,C+3,cordgrass,present,29,0,70,0,0,99,0.292929293,0,0.707070707,0,0,
42865,May,2017,SDL,SDL2,C+4,cordgrass,present,23,14,60,3,0,100,0.23,0.14,0.6,0.03,0,
42865,May,2017,SDL,SDL2,C+5,cordgrass,present,26,0,72,2,0,100,0.26,0,0.72,0.02,0,
42865,May,2017,SDL,SDL2,C+6,cordgrass,present,24,2,71,2,0,99,0.242424242,0.02020202,0.717171717,0.02020202,0,
42865,May,2017,SDL,SDL2,C+7,cordgrass,present,23,4,66,7,0,100,0.23,0.04,0.66,0.07,0,
42865,May,2017,SDL,SDL2,C+8,cordgrass,present,32,13,51,4,0,100,0.32,0.13,0.51,0.04,0,
42865,May,2017,SDL,SDL2,C+9,cordgrass,present,15,14,70,0,0,99,0.151515152,0.141414141,0.707070707,0,0,
42865,May,2017,SDL,SDL2,C+10,cordgrass,present,13,28,57,1,0,99,0.131313131,0.282828283,0.575757576,0.01010101,0,
42865,May,2017,SDL,SDL2,C-1,cordgrass,absent,57,20,0,23,0,100,0.57,0.2,0,0.23,0,
42865,May,2017,SDL,SDL2,C-2,cordgrass,absent,53,25,0,22,0,100,0.53,0.25,0,0.22,0,
42865,May,2017,SDL,SDL2,C-3,cordgrass,absent,72,16,0,12,0,100,0.72,0.16,0,0.12,0,
42865,May,2017,SDL,SDL2,C-4,cordgrass,absent,73,17,0,10,0,100,0.73,0.17,0,0.1,0,
42865,May,2017,SDL,SDL2,C-5,cordgrass,absent,62,10,0,28,0,100,0.62,0.1,0,0.28,0,
42865,May,2017,SDL,SDL2,C-6,cordgrass,absent,44,3,0,53,0,100,0.44,0.03,0,0.53,0,
42865,May,2017,SDL,SDL2,C-7,cordgrass,absent,50,9,0,41,0,100,0.5,0.09,0,0.41,0,
42865,May,2017,SDL,SDL2,C-8,cordgrass,absent,73,20,0,17,0,110,0.663636364,0.181818182,0,0.154545455,0,
42865,May,2017,SDL,SDL2,C-9,cordgrass,absent,91,4,0,5,0,100,0.91,0.04,0,0.05,0,
42865,May,2017,SDL,SDL2,C-10,cordgrass,absent,71,10,0,19,0,100,0.71,0.1,0,0.19,0,
42865,May,2017,SDL,SDL2,P+1,pickleweed,present,43,26,25,6,0,100,0.43,0.26,0.25,0.06,0,
42865,May,2017,SDL,SDL2,P+2,pickleweed,present,35,13,52,0,0,100,0.35,0.13,0.52,0,0,
42865,May,2017,SDL,SDL2,P+3,pickleweed,present,35,4,59,1,0,99,0.353535354,0.04040404,0.595959596,0.01010101,0,
42865,May,2017,SDL,SDL2,P+4,pickleweed,present,15,5,72,8,0,100,0.15,0.05,0.72,0.08,0,
42865,May,2017,SDL,SDL2,P+5,pickleweed,present,35,0,64,0,0,99,0.353535354,0,0.646464646,0,0,
42865,May,2017,SDL,SDL2,P+6,pickleweed,present,41,0,59,2,0,102,0.401960784,0,0.578431373,0.019607843,0,
42865,May,2017,SDL,SDL2,P+7,pickleweed,present,24,13,57,5,0,99,0.242424242,0.131313131,0.575757576,0.050505051,0,
42865,May,2017,SDL,SDL2,P+8,pickleweed,present,43,4,50,2,0,99,0.434343434,0.04040404,0.505050505,0.02020202,0,
42865,May,2017,SDL,SDL2,P+9,pickleweed,present,12,18,70,1,0,101,0.118811881,0.178217822,0.693069307,0.00990099,0,
42865,May,2017,SDL,SDL2,P+10,pickleweed,present,15,6,78,2,0,101,0.148514851,0.059405941,0.772277228,0.01980198,0,
42865,May,2017,SDL,SDL2,P-1,pickleweed,absent,0,0,81,19,0,100,0,0,0.81,0.19,0,
42865,May,2017,SDL,SDL2,P-2,pickleweed,absent,0,0,76,24,0,100,0,0,0.76,0.24,0,
42865,May,2017,SDL,SDL2,P-3,pickleweed,absent,0,0,43,57,0,100,0,0,0.43,0.57,0,
42865,May,2017,SDL,SDL2,P-4,pickleweed,absent,0,0,71,29,0,100,0,0,0.71,0.29,0,
42865,May,2017,SDL,SDL2,P-5,pickleweed,absent,0,0,76,24,0,100,0,0,0.76,0.24,0,
42865,May,2017,SDL,SDL2,P-6,pickleweed,absent,0,0,86,14,0,100,0,0,0.86,0.14,0,
42865,May,2017,SDL,SDL2,P-7,pickleweed,absent,0,0,85,15,0,100,0,0,0.85,0.15,0,
42865,May,2017,SDL,SDL2,P-8,pickleweed,absent,0,0,69,31,0,100,0,0,0.69,0.31,0,
42865,May,2017,SDL,SDL2,P-9,pickleweed,absent,0,0,83,17,0,100,0,0,0.83,0.17,0,
42865,May,2017,SDL,SDL2,P-10,pickleweed,absent,0,0,75,25,0,100,0,0,0.75,0.25,0,
42500,May,2016,SDL,SDL1,C+1,cordgrass,present,14,50,30,6,0,100,0.14,0.5,0.3,0.06,0,
42500,May,2016,SDL,SDL1,C+2,cordgrass,present,28,35,30,7,0,100,0.28,0.35,0.3,0.07,0,
42500,May,2016,SDL,SDL1,C+3,cordgrass,present,13,62,25,0,0,100,0.13,0.62,0.25,0,0,
42500,May,2016,SDL,SDL1,C+4,cordgrass,present,9,26,62,0,0,97,0.092783505,0.268041237,0.639175258,0,0,
42500,May,2016,SDL,SDL1,C+5,cordgrass,present,34,20,44,0,0,98,0.346938776,0.204081633,0.448979592,0,0,
42500,May,2016,SDL,SDL1,C+6,cordgrass,present,16,25,59,0,0,100,0.16,0.25,0.59,0,0,
42500,May,2016,SDL,SDL1,C+7,cordgrass,present,21,19,55,3,0,98,0.214285714,0.193877551,0.56122449,0.030612245,0,
42500,May,2016,SDL,SDL1,C+8,cordgrass,present,21,11,64,4,0,100,0.21,0.11,0.64,0.04,0,
42500,May,2016,SDL,SDL1,C-1,cordgrass,absent,59,0,0,41,0,100,0.59,0,0,0.41,0,
42500,May,2016,SDL,SDL1,C-2,cordgrass,absent,64,0,0,36,0,100,0.64,0,0,0.36,0,
42500,May,2016,SDL,SDL1,C-3,cordgrass,absent,54,0,0,46,0,100,0.54,0,0,0.46,0,
42500,May,2016,SDL,SDL1,C-4,cordgrass,absent,28,0,0,72,0,100,0.28,0,0,0.72,0,JAM
42500,May,2016,SDL,SDL1,C-5,cordgrass,absent,68,0,0,32,0,100,0.68,0,0,0.32,0,
42500,May,2016,SDL,SDL1,C-6,cordgrass,absent,46,0,0,54,0,100,0.46,0,0,0.54,0,
42500,May,2016,SDL,SDL1,C-7,cordgrass,absent,59,0,0,41,0,100,0.59,0,0,0.41,0,
42500,May,2016,SDL,SDL1,C-8,cordgrass,absent,52,0,0,48,,100,0.52,0,0,0.48,0,
42500,May,2016,SDL,SDL1,P+1,pickleweed,present,17,55,24,3,0,99,0.171717172,0.555555556,0.242424242,0.03030303,0,
42500,May,2016,SDL,SDL1,P+2,pickleweed,present,22,38,31,11,0,102,0.215686275,0.37254902,0.303921569,0.107843137,0,
42500,May,2016,SDL,SDL1,P+3,pickleweed,present,16,34,48,2,0,100,0.16,0.34,0.48,0.02,0,
42500,May,2016,SDL,SDL1,P+4,pickleweed,present,23,26,51,0,0,100,0.23,0.26,0.51,0,0,
42500,May,2016,SDL,SDL1,P+5,pickleweed,present,32,8,54,5,0,99,0.323232323,0.080808081,0.545454545,0.050505051,0,
42500,May,2016,SDL,SDL1,P+6,pickleweed,present,40,21,38,1,0,100,0.4,0.21,0.38,0.01,0,
42500,May,2016,SDL,SDL1,P+7,pickleweed,present,35,12,50,1,0,98,0.357142857,0.12244898,0.510204082,0.010204082,0,
42500,May,2016,SDL,SDL1,P+8,pickleweed,present,20,25,54,1,0,100,0.2,0.25,0.54,0.01,0,
42500,May,2016,SDL,SDL1,P-1,pickleweed,absent,0,0,97,3,0,100,0,0,0.97,0.03,0,
42500,May,2016,SDL,SDL1,P-2,pickleweed,absent,0,0,64,36,0,100,0,0,0.64,0.36,0,
